Epochs 000, train loss: 1.36, train acc: -0.09, valid loss: 1.40, valid acc: -0.73, test loss: 1.40, test acc: -0.66
Epochs 001, train loss: 1.30, train acc: 0.13, valid loss: 1.32, valid acc: 0.20, test loss: 1.32, test acc: 0.21
Epochs 002, train loss: 1.26, train acc: 0.03, valid loss: 1.27, valid acc: 0.05, test loss: 1.28, test acc: 0.05
Epochs 003, train loss: 1.24, train acc: 0.01, valid loss: 1.24, valid acc: 0.02, test loss: 1.25, test acc: 0.02
Epochs 004, train loss: 1.23, train acc: 0.00, valid loss: 1.22, valid acc: 0.00, test loss: 1.23, test acc: 0.00
Epochs 005, train loss: 1.22, train acc: 0.00, valid loss: 1.21, valid acc: 0.00, test loss: 1.22, test acc: 0.00
Epochs 006, train loss: 1.21, train acc: 0.00, valid loss: 1.20, valid acc: 0.00, test loss: 1.21, test acc: 0.00
Epochs 007, train loss: 1.20, train acc: -0.00, valid loss: 1.19, valid acc: 0.00, test loss: 1.20, test acc: 0.00
Epochs 008, train loss: 1.20, train acc: -0.00, valid loss: 1.19, valid acc: 0.00, test loss: 1.20, test acc: 0.00
Epochs 009, train loss: 1.20, train acc: -0.00, valid loss: 1.18, valid acc: 0.00, test loss: 1.20, test acc: 0.00
Epochs 010, train loss: 1.20, train acc: -0.00, valid loss: 1.18, valid acc: 0.00, test loss: 1.19, test acc: 0.00
Epochs 011, train loss: 1.19, train acc: -0.00, valid loss: 1.18, valid acc: 0.00, test loss: 1.19, test acc: 0.00
Epochs 012, train loss: 1.19, train acc: -0.00, valid loss: 1.17, valid acc: 0.00, test loss: 1.19, test acc: 0.00
Epochs 013, train loss: 1.19, train acc: 0.00, valid loss: 1.17, valid acc: 0.00, test loss: 1.19, test acc: 0.00
Epochs 014, train loss: 1.19, train acc: -0.00, valid loss: 1.17, valid acc: 0.00, test loss: 1.18, test acc: 0.00
