Epochs 000, train loss: 0.94, train acc: 0.50 (std 0.00), valid loss: 1.40, valid acc: 0.20 (std 0.02), test loss: 1.43, test acc: 0.13 (std 0.02)
Epochs 001, train loss: 0.92, train acc: 0.52 (std 0.00), valid loss: 0.93, valid acc: 0.50 (std 0.03), test loss: 0.81, test acc: 0.61 (std 0.03)
Epochs 002, train loss: 0.91, train acc: 0.53 (std 0.00), valid loss: 0.92, valid acc: 0.51 (std 0.03), test loss: 0.79, test acc: 0.60 (std 0.03)
Epochs 003, train loss: 0.91, train acc: 0.54 (std 0.00), valid loss: 0.91, valid acc: 0.48 (std 0.03), test loss: 0.78, test acc: 0.61 (std 0.03)
Epochs 004, train loss: 0.90, train acc: 0.54 (std 0.00), valid loss: 0.94, valid acc: 0.52 (std 0.03), test loss: 0.77, test acc: 0.61 (std 0.03)
Epochs 005, train loss: 0.90, train acc: 0.54 (std 0.00), valid loss: 0.94, valid acc: 0.53 (std 0.03), test loss: 0.77, test acc: 0.63 (std 0.03)
